date,home_id,home_team,away_id,away_team,home_score,away_score,tournament,city,country,neutral
19/08/1998,30,Austria,14,France,2,2,Friendly,Vienna,Austria,FALSE
19/08/1998,36,Bosnia and Herzegovina,,Faroe Islands,1,0,UEFA Euro qualification,Sarajevo,Bosnia and Herzegovina,FALSE
19/08/1998,22,Czech Republic,,Denmark,1,0,Friendly,Prague,Czech Republic,FALSE
19/08/1998,46,Norway,,Romania,0,0,Friendly,Oslo,Norway,FALSE
19/08/1998,8,Portugal,,Mozambique,2,1,Friendly,Ponta Delgada,Portugal,FALSE
19/08/1998,21,Sweden,,Russia,1,0,Friendly,Ã–rebro,Sweden,FALSE
30/08/1998,,Burkina Faso,40,Ivory Coast,1,1,Friendly,Ouagadougou,Burkina Faso,FALSE
31/08/1998,,Burkina Faso,27,Senegal,1,1,Friendly,Ouagadougou,Burkina Faso,FALSE
02/09/1998,,Malta,2,Germany,1,2,Friendly,Attard,Malta,FALSE
02/09/1998,29,Morocco,27,Senegal,2,0,Friendly,Tangier,Morocco,FALSE
02/09/1998,,Serbia,19,Switzerland,1,1,Friendly,NiÅ¡,FR Yugoslavia,FALSE
05/09/1998,30,Austria,,Israel,1,1,UEFA Euro qualification,Vienna,Austria,FALSE
05/09/1998,36,Bosnia and Herzegovina,,Estonia,1,1,UEFA Euro qualification,Sarajevo,Bosnia and Herzegovina,FALSE
05/09/1998,,Cyprus,3,Spain,3,2,UEFA Euro qualification,Larnaca,Cyprus,FALSE
05/09/1998,2,Germany,,Romania,1,1,Friendly,Attard,Malta,TRUE
05/09/1998,,Iceland,14,France,1,1,UEFA Euro qualification,ReykjavÃ­k,Iceland,FALSE
05/09/1998,,Republic of Ireland,23,Croatia,2,0,UEFA Euro qualification,Dublin,Republic of Ireland,FALSE
05/09/1998,,Lithuania,47,Scotland,0,0,UEFA Euro qualification,Vilnius,Lithuania,FALSE
05/09/1998,21,Sweden,11,England,2,1,UEFA Euro qualification,Solna,Sweden,FALSE
05/09/1998,26,Turkey,,Northern Ireland,3,0,UEFA Euro qualification,Istanbul,Turkey,FALSE
06/09/1998,,Faroe Islands,22,Czech Republic,0,1,UEFA Euro qualification,Toftir,Faroe Islands,FALSE
06/09/1998,,Hungary,8,Portugal,1,3,UEFA Euro qualification,Budapest,Hungary,FALSE
06/09/1998,46,Norway,,Latvia,1,3,UEFA Euro qualification,Oslo,Norway,FALSE
06/09/1998,,Eswatini,6,Ghana,0,1,Friendly,Mbabane,Swaziland,FALSE
11/09/1998,24,Saudi Arabia,,Tanzania,8,0,Friendly,Dammam,Saudi Arabia,FALSE
14/09/1998,24,Saudi Arabia,,Sudan,2,1,Friendly,Dammam,Saudi Arabia,FALSE
16/09/1998,32,Egypt,40,Ivory Coast,0,0,Friendly,Cairo,Egypt,FALSE
16/09/1998,41,Qatar,,Sudan,1,1,Friendly,Doha,Qatar,FALSE
17/09/1998,24,Saudi Arabia,27,Senegal,3,2,Friendly,Dammam,Saudi Arabia,FALSE
22/09/1998,41,Qatar,,Libya,2,1,Arab Cup,Doha,Qatar,FALSE
23/09/1998,7,Brazil,,Serbia,1,1,Friendly,SÃ£o LuÃ­s,Brazil,FALSE
23/09/1998,,Estonia,32,Egypt,2,2,Friendly,Tallinn,Estonia,FALSE
23/09/1998,3,Spain,,Russia,1,0,Friendly,Granada,Spain,FALSE
24/09/1998,,Libya,42,Jordan,1,2,Arab Cup,Doha,Qatar,TRUE
25/09/1998,17,Australia,,Fiji,3,1,Oceania Nations Cup,Brisbane,Australia,FALSE
25/09/1998,18,New Zealand,,Tahiti,1,0,Oceania Nations Cup,Brisbane,Australia,TRUE
26/09/1998,41,Qatar,42,Jordan,2,0,Arab Cup,Doha,Qatar,FALSE
27/09/1998,24,Saudi Arabia,,Lebanon,4,1,Arab Cup,Doha,Qatar,TRUE
28/09/1998,17,Australia,,Cook Islands,16,0,Oceania Nations Cup,Brisbane,Australia,FALSE
28/09/1998,18,New Zealand,,Vanuatu,8,1,Oceania Nations Cup,Brisbane,Australia,TRUE
29/09/1998,,North Macedonia,32,Egypt,2,2,Friendly,Kumanovo,North Macedonia,FALSE
29/09/1998,41,Qatar,,United Arab Emirates,2,1,Arab Cup,Doha,Qatar,FALSE
29/09/1998,24,Saudi Arabia,,Kuwait,2,1,Arab Cup,Doha,Qatar,TRUE
01/10/1998,41,Qatar,24,Saudi Arabia,1,3,Arab Cup,Doha,Qatar,FALSE
02/10/1998,17,Australia,,Tahiti,4,1,Oceania Nations Cup,Brisbane,Australia,FALSE
